millis,stamp,datetime,temp
8934999,1497834156,42905.04306,15.3
8935999,1497834157,42905.04306,15.3
8936998,1497834158,42905.04306,15.3
8937999,1497834159,42905.04306,15.3
8938998,1497834160,42905.04306,15.3
8939999,1497834161,42905.04306,15.3
8940998,1497834162,42905.04306,15.3
8942000,1497834163,42905.04306,15.3
8942999,1497834164,42905.04306,15.3
8943998,1497834165,42905.04306,15.3
8944999,1497834166,42905.04306,15.3
8945998,1497834167,42905.04306,15.3
8946999,1497834168,42905.04306,15.3
8947998,1497834169,42905.04306,15.3
8948999,1497834170,42905.04306,15.3
8949999,1497834171,42905.04306,15.3
8950999,1497834172,42905.04306,15.3
8951999,1497834173,42905.04306,15.3
8952998,1497834174,42905.04306,15.3
8953999,1497834175,42905.04306,15.3
8954998,1497834176,42905.04306,15.3
8955999,1497834177,42905.04306,15.3
8956998,1497834178,42905.04306,15.3
8957999,1497834179,42905.04306,15.3
8958999,1497834180,42905.04375,15.3
8960000,1497834181,42905.04375,15.3
8961000,1497834182,42905.04375,15.3
8961998,1497834183,42905.04375,15.3
8963000,1497834184,42905.04375,15.3
8963998,1497834185,42905.04375,15.3
8964999,1497834186,42905.04375,15.3
8965998,1497834187,42905.04375,15.3
8966999,1497834188,42905.04375,15.3
8968000,1497834189,42905.04375,15.3
8968998,1497834190,42905.04375,15.3
8970000,1497834191,42905.04375,15.3
8970999,1497834192,42905.04375,15.3
8972000,1497834193,42905.04375,15.3
8972998,1497834194,42905.04375,15.3
8974000,1497834195,42905.04375,15.3
8975000,1497834196,42905.04375,15.3
8976000,1497834197,42905.04375,15.3
8976999,1497834198,42905.04375,15.3
8977998,1497834199,42905.04375,15.3
8978999,1497834200,42905.04375,15.3
8979998,1497834201,42905.04375,15.3
8980999,1497834202,42905.04375,15.3
8981998,1497834203,42905.04375,15.3
8983000,1497834204,42905.04375,15.3
8983999,1497834205,42905.04375,15.3
8984998,1497834206,42905.04375,15.3
8985999,1497834207,42905.04375,15.3
8986998,1497834208,42905.04375,15.3
