stamp,datetime,humidity,temperature
"1497825532","42904.94366","64.5","18.2"
"1497825533","42904.94367","64.5","18.2"
"1497825534","42904.94368","64.4","18.2"
"1497825535","42904.94369","64.4","18.2"
"1497825536","42904.9437","64.5","18.3"
"1497825537","42904.94372","64.5","18.3"
"1497825538","42904.94373","64.5","18.3"
"1497825539","42904.94374","64.4","18.3"
"1497825540","42904.94375","64.4","18.3"
"1497825541","42904.94376","64.4","18.3"
"1497825542","42904.94377","64.3","18.3"
"1497825543","42904.94378","64.3","18.3"
"1497825544","42904.9438","64.3","18.3"
"1497825545","42904.94381","64.3","18.3"
"1497825546","42904.94382","64.2","18.3"
"1497825547","42904.94383","64.2","18.3"
"1497825548","42904.94384","64.2","18.3"
"1497825549","42904.94385","64.2","18.3"
"1497825550","42904.94387","64.2","18.3"
"1497825551","42904.94388","64.2","18.3"
"1497825552","42904.94389","64.2","18.3"
"1497825553","42904.9439","64.2","18.3"
"1497825554","42904.94391","64.1","18.3"
"1497825555","42904.94392","64.1","18.3"
"1497825556","42904.94394","64.1","18.3"
"1497825557","42904.94395","64.1","18.3"
"1497825558","42904.94396","64.1","18.3"
"1497825559","42904.94397","64.1","18.3"
"1497825560","42904.94398","64.1","18.3"
"1497825561","42904.94399","64.0","18.3"
"1497825562","42904.944","64.0","18.3"
"1497825563","42904.94402","64.0","18.3"
"1497825564","42904.94403","64.0","18.3"
"1497825565","42904.94404","64.0","18.3"
"1497825566","42904.94405","64.0","18.3"
"1497825567","42904.94406","63.9","18.3"
"1497825568","42904.94407","63.9","18.3"
"1497825569","42904.94409","64.0","18.3"
"1497825570","42904.9441","64.0","18.3"
"1497825571","42904.94411","64.0","18.3"
"1497825572","42904.94412","64.0","18.3"
"1497825573","42904.94413","64.0","18.3"
"1497825574","42904.94414","64.0","18.3"
"1497825575","42904.94416","64.0","18.3"
"1497825576","42904.94417","64.0","18.3"
"1497825577","42904.94418","64.0","18.3"
"1497825578","42904.94419","64.1","18.3"
"1497825579","42904.9442","64.1","18.3"
"1497825580","42904.94421","64.2","18.3"
"1497825581","42904.94422","64.2","18.3"
"1497825582","42904.94424","64.2","18.3"
"1497825583","42904.94425","64.2","18.3"
"1497825584","42904.94426","64.2","18.3"
"1497825585","42904.94427","64.2","18.3"
"1497825586","42904.94428","64.2","18.3"
"1497825587","42904.94429","64.2","18.3"
"1497825588","42904.94431","64.2","18.3"
"1497825589","42904.94432","64.2","18.3"
"1497825590","42904.94433","64.2","18.3"
"1497825591","42904.94434","64.2","18.3"
"1497825592","42904.94435","64.2","18.3"
"1497825593","42904.94436","64.2","18.3"
"1497825594","42904.94438","64.2","18.3"
"1497825595","42904.94439","64.1","18.3"
"1497825596","42904.9444","64.1","18.3"
"1497825597","42904.94441","64.0","18.3"
"1497825598","42904.94442","64.0","18.3"
"1497825599","42904.94443","64.0","18.3"
"1497825600","42904.94444","64.0","18.3"
"1497825601","42904.94446","64.0","18.3"
"1497825602","42904.94447","64.0","18.4"
"1497825603","42904.94448","64.0","18.4"
"1497825605","42904.9445","64.0","18.3"
"1497825605","42904.9445","63.8","18.3"
"1497825607","42904.94453","63.8","18.3"
"1497825608","42904.94454","63.7","18.3"
"1497825609","42904.94455","63.7","18.3"
"1497825610","42904.94456","63.7","18.3"
"1497825611","42904.94457","63.7","18.3"
"1497825612","42904.94458","63.7","18.3"
"1497825613","42904.94459","63.7","18.3"
"1497825614","42904.94461","63.7","18.3"
"1497825615","42904.94462","63.7","18.3"
"1497825616","42904.94463","63.7","18.3"
"1497825617","42904.94464","63.8","18.4"
"1497825618","42904.94465","63.8","18.4"
"1497825619","42904.94466","63.6","18.3"
"1497825620","42904.94468","63.6","18.3"
"1497825621","42904.94469","63.6","18.3"
"1497825622","42904.9447","63.7","18.4"
